,Name,Year,blank,blank,League,blank,Games Played,Games Started,TotalMin,FGPer100Poss,FGAPer100Poss,FG%Per100Poss,3pPer100Poss,3PAPer100Poss,3p%Per100Poss,2pPer100Poss,2pAPer100Poss,2p%Per100Poss,FTPer100Poss,FTAPer100Poss,FT%Per100Poss,ORGPer100Poss,DRBPer100Poss,TotalRebPer100Poss,AstPer100Poss,StealPer100Poss,BlkPer100Poss,TOVPer100Poss,FoulsPer100Poss,PtsPer100Poss,blank,ORtg,DRtg
222,Rick Barry,Career,,,TOT,,554,,19585,10.9,24.4,.456,4.6,15.5,.297,10.8,23.9,.460,4.9,5.4,.893,1.2,5.4,6.6,7.3,2.5,0.6,1.3,3.4,27.0,,105,99
225,Will Barton,Career,,,NBA,,375,51,8310,8.4,19.4,.433,2.1,6.3,.337,6.3,13.0,.480,3.8,4.9,.785,1.5,7.0,8.5,5.0,1.7,0.8,2.9,3.2,22.7,,106,110
226,Eddie Basden,Career,,,NBA,,19,0,141,5.5,13.6,.405,0.4,2.6,.143,5.1,11.0,.467,2.9,3.7,.800,2.6,7.7,10.3,2.9,3.3,0.7,3.3,6.2,14.3,,92,99
228,Brandon Bass,Career,,,NBA,,758,283,16410,8.1,16.2,.499,0.0,0.2,.207,8.1,16.0,.502,4.6,5.5,.832,3.6,7.3,10.9,1.9,0.9,1.5,2.3,4.3,20.8,,111,106
229,Tim Bassett,Career,,,TOT,,473,,11230,4.9,11.5,.423,0.0,0.1,.286,4.9,11.5,.424,2.0,3.3,.588,4.6,8.0,12.6,2.3,1.4,0.9,1.9,5.0,11.7,,98,102
230,Maceo Baston,Career,,,NBA,,105,4,831,6.6,10.7,.616,0.2,0.5,.375,6.4,10.2,.628,4.4,6.0,.740,3.5,7.4,10.9,1.6,1.5,2.7,3.4,8.7,17.8,,115,105
231,Mengke Bateer,Career,,,NBA,,46,10,494,6.6,16.8,.391,0.5,1.6,.333,6.0,15.2,.397,3.1,4.2,.744,4.2,8.1,12.3,2.9,1.2,0.5,4.3,12.7,16.8,,88,107
232,Billy Ray Bates,Career,,,NBA,,187,3,3328,12.7,26.8,.474,0.5,1.7,.303,12.2,25.1,.485,5.3,6.7,.796,2.1,2.3,4.4,5.0,2.1,0.2,3.9,3.8,31.2,,105,108
233,Esteban Batista,Career,,,NBA,,70,3,576,3.9,8.9,.438,0.0,0.1,.000,3.9,8.8,.442,3.4,5.5,.617,6.3,9.8,16.0,1.0,1.7,1.0,3.9,11.4,11.2,,94,108
234,Mike Batiste,Career,,,NBA,,75,2,1248,8.2,19.4,.422,0.7,3.4,.222,7.4,16.0,.464,2.9,3.7,.784,3.4,7.3,10.7,2.2,1.7,0.7,2.9,5.0,20.0,,96,107
235,Tony Battie,Career,,,NBA,,837,429,17649,6.4,13.0,.488,0.0,0.2,.162,6.3,12.8,.494,2.3,3.4,.690,4.1,8.6,12.7,1.6,1.2,2.1,2.1,6.5,15.1,,106,103
236,Shane Battier,Career,,,NBA,,977,705,30004,5.3,12.0,.437,2.2,5.7,.384,3.1,6.3,.486,2.1,2.8,.743,2.2,4.9,7.2,3.0,1.7,1.6,1.5,3.9,14.8,,115,105
237,John Battle,Career,,,NBA,,612,62,10910,9.4,20.2,.464,0.3,1.0,.273,9.1,19.2,.474,5.3,6.7,.793,0.8,2.9,3.8,5.7,1.2,0.2,3.0,4.0,24.4,,108,112
238,Kenny Battle,Career,,,NBA,,134,17,1795,6.2,12.2,.504,0.1,0.8,.133,6.1,11.5,.529,3.5,4.8,.725,3.5,4.8,8.3,2.7,2.5,0.8,2.3,5.4,15.9,,112,109
239,Dave Batton,Career,,,NBA,,58,5,589,7.3,16.4,.448,0.0,0.2,.000,7.3,16.2,.455,0.7,1.4,.471,3.8,6.3,10.0,2.6,1.2,1.3,2.6,5.0,15.4,,93,101
240,Lloyd Batts,Career,,,ABA,,58,,1317,9.0,24.5,.366,1.5,5.3,.286,7.5,19.2,.388,2.1,3.4,.617,2.6,4.5,7.1,3.8,2.6,0.2,3.2,3.8,21.6,,89,107
241,Nicolas Batum,Career,,,NBA,,677,624,21438,7.0,16.2,.434,2.7,7.5,.355,4.4,8.7,.503,3.0,3.6,.838,1.7,6.9,8.6,6.2,1.6,1.1,3.1,2.9,19.7,,110,107
242,Johnny Baum,Career,,,TOT,,60,,1219,7.1,15.8,.480,0.0,0.1,.000,7.1,15.8,.481,2.0,2.4,.758,3.2,4.7,7.9,2.4,1.4,0.6,1.9,4.0,16.2,,104,109
244,Lonny Baxter,Career,,,NBA,,162,5,1884,6.9,14.9,.466,0.0,0.1,.200,6.9,14.8,.469,4.0,6.1,.657,5.0,8.4,13.4,1.1,1.0,1.7,3.0,9.1,17.9,,99,103
245,Jerryd Bayless,Career,,,NBA,,552,93,11829,7.2,17.5,.414,2.1,5.7,.366,5.2,11.8,.438,4.2,5.1,.824,0.7,4.5,5.2,6.9,1.6,0.3,3.5,5.1,20.8,,104,109
248,Aron Baynes,Career,,,NBA,,357,72,5259,7.3,14.5,.506,0.0,0.2,.063,7.3,14.4,.511,3.6,4.5,.800,5.0,9.8,14.8,2.1,0.7,1.6,2.7,7.0,18.3,,110,104
249,Sergei Bazarevich,Career,,,NBA,,10,0,74,7.9,15.9,.500,0.7,4.3,.167,7.2,11.6,.625,5.1,6.5,.778,0.7,4.3,5.1,10.1,0.7,0.7,5.1,7.2,21.7,,109,109
250,Kent Bazemore,Career,,,NBA,,413,219,8276,7.3,17.3,.422,2.4,6.8,.359,4.9,10.5,.463,3.3,4.6,.718,0.8,6.5,7.3,4.5,2.4,1.1,3.5,4.4,20.4,,98,104
252,Bradley Beal,Career,,,NBA,,387,353,13072,10.3,23.0,.445,3.1,8.0,.394,7.1,15.0,.472,4.1,5.1,.796,1.2,4.4,5.5,4.9,1.6,0.5,3.0,3.1,27.7,,107,108
257,Jerome Beasley,Career,,,NBA,,2,0,5,10.9,32.7,.333,0.0,0.0,,10.9,32.7,.333,0.0,0.0,,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,21.8,,72,104
258,John Beasley,Career,,,ABA,,43,,481,7.6,18.3,.491,8.2,25.9,.316,5.4,11.8,.500,1.0,1.1,.831,4.5,7.6,12.1,1.9,0.7,1.0,2.1,5.8,18.4,,105,106
259,Malik Beasley,Career,,,NBA,,74,1,691,6.9,16.6,.416,2.1,7.0,.306,4.8,9.6,.496,1.8,2.6,.694,1.3,4.6,5.9,2.8,1.5,0.4,2.1,3.1,17.8,,100,113
260,Michael Beasley,Career,,,NBA,,565,221,13149,11.4,24.6,.461,1.1,3.1,.351,10.3,21.5,.477,4.1,5.4,.760,2.5,8.1,10.5,2.8,1.3,1.2,3.8,4.8,27.9,,99,108
261,Zelmo Beaty,Career,,,TOT,,146,,3689,7.1,14.2,.494,0.0,0.3,.154,7.1,14.2,.495,3.9,4.9,.771,3.4,8.7,12.1,2.6,1.4,1.2,1.4,4.6,18.1,,115,102
262,Rodrigue Beaubois,Career,,,NBA,,182,54,2896,9.0,20.6,.439,2.3,7.1,.325,6.7,13.4,.500,2.8,3.4,.810,0.8,5.2,6.1,6.7,2.2,0.9,3.7,5.6,23.1,,101,105
263,Byron Beck,Career,,,TOT,,299,,5863,9.5,18.8,.505,0.1,0.4,.295,9.5,18.7,.506,2.5,3.0,.811,3.5,5.7,9.2,2.5,1.3,0.3,1.9,5.7,21.6,,113,104
264,Corey Beck,Career,,,NBA,,88,14,951,5.2,11.6,.451,0.2,0.3,.600,5.1,11.3,.448,2.9,4.3,.684,2.0,5.0,7.1,6.9,2.4,0.5,4.9,7.6,13.6,,92,105
269,William Bedford,Career,,,NBA,,238,30,2514,8.0,19.2,.416,0.1,0.4,.318,7.8,18.8,.418,2.9,4.8,.605,4.0,7.3,11.3,2.1,0.7,2.5,3.4,7.1,19.0,,92,106
271,Ron Behagen,Career,,,NBA,,388,,9131,7.9,18.6,.425,0.0,0.0,,7.9,18.6,.425,3.9,5.2,.754,4.4,9.0,13.5,3.1,1.4,0.8,0.9,6.4,19.7,,95,98
273,Marco Belinelli,Career,,,NBA,,703,217,16288,7.7,18.1,.424,3.0,8.0,.377,4.6,10.1,.461,3.3,4.0,.840,0.5,4.0,4.5,3.7,1.3,0.2,2.3,3.2,21.7,,107,110
274,Charlie Bell,Career,,,NBA,,376,137,9368,6.6,16.1,.412,2.4,6.8,.361,4.2,9.3,.449,2.1,2.8,.769,1.0,3.5,4.5,4.8,1.7,0.2,2.0,4.2,17.8,,107,111
276,Jordan Bell,Career,,,NBA,,41,11,574,7.4,11.3,.654,0.0,0.3,.000,7.4,11.1,.669,1.8,2.7,.656,4.0,8.9,12.9,6.1,2.3,3.4,3.3,6.1,16.6,,123,102
277,Raja Bell,Career,,,NBA,,706,479,19813,6.8,15.6,.434,2.5,6.2,.406,4.3,9.4,.452,2.3,2.9,.799,1.1,4.1,5.2,3.2,1.3,0.3,1.8,4.8,18.3,,109,110
278,Troy Bell,Career,,,NBA,,6,0,34,6.2,27.8,.222,0.0,6.2,.000,6.2,21.6,.286,4.6,4.6,1.000,4.6,1.5,6.2,6.2,1.5,0.0,9.3,9.3,17.0,,61,108
281,DeAndre' Bembry,Career,,,NBA,,59,1,735,5.8,13.3,.437,0.6,2.8,.214,5.2,10.5,.497,1.4,2.7,.512,1.5,6.2,7.7,3.9,1.4,1.0,3.6,3.5,13.7,,87,109
284,Dragan Bender,Career,,,NBA,,107,19,2099,4.5,11.8,.377,2.6,7.6,.347,1.8,4.2,.432,0.7,1.0,.644,1.2,6.9,8.1,2.6,0.6,1.4,2.6,4.7,12.2,,93,114
285,Jonathan Bender,Career,,,NBA,,262,28,3847,7.0,16.7,.417,1.4,4.1,.340,5.6,12.6,.442,4.6,6.0,.763,2.1,5.9,8.0,2.3,0.6,2.3,3.5,5.3,19.9,,96,105
286,Jerrelle Benimon,Career,,,NBA,,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,17.7,35.4,53.1,0.0,0.0,0.0,17.7,0.0,0.0,,46,93
287,Benoit Benjamin,Career,,,NBA,,807,614,21911,8.0,16.1,.497,0.0,0.0,.048,8.0,16.0,.498,4.6,6.3,.721,3.2,10.2,13.5,2.4,1.2,3.5,4.1,5.1,20.5,,100,105
288,Corey Benjamin,Career,,,NBA,,153,16,2191,7.8,19.9,.390,1.4,4.8,.289,6.4,15.1,.423,3.5,5.4,.652,2.1,4.3,6.4,3.5,1.7,1.2,4.0,7.8,20.5,,88,107
289,Anthony Bennett,Career,,,NBA,,151,4,1905,6.7,17.0,.392,1.0,3.7,.261,5.7,13.4,.427,3.2,4.8,.670,3.5,9.0,12.5,2.0,1.5,0.7,2.6,5.5,17.5,,94,109
290,Elmer Bennett,Career,,,NBA,,21,0,159,5.3,15.5,.340,1.0,3.6,.273,4.3,11.9,.361,4.3,5.9,.722,0.3,3.0,3.3,7.3,3.0,0.3,6.6,5.3,15.9,,79,111
291,Mario Bennett,Career,,,NBA,,68,18,606,9.4,17.7,.534,0.1,0.3,.333,9.3,17.4,.537,3.9,7.6,.511,7.1,8.3,15.5,2.0,2.6,1.9,2.8,9.5,22.8,,110,102
292,Mel Bennett,Career,,,TOT,,204,0,3725,5.8,15.3,.382,0.0,0.1,.000,5.8,15.2,.384,5.3,8.8,.609,5.4,6.2,11.5,2.5,1.6,1.2,2.9,6.5,17.0,,93,106
294,Tony Bennett,Career,,,NBA,,152,7,1886,5.7,13.8,.412,1.4,4.2,.335,4.3,9.6,.446,1.1,1.4,.732,0.7,3.3,4.0,7.8,1.8,0.0,2.4,5.2,13.9,,103,112
295,Winston Bennett,Career,,,NBA,,136,92,2157,6.0,14.1,.425,0.0,0.0,.000,6.0,14.1,.426,3.1,4.5,.694,4.1,5.6,9.7,2.8,1.2,0.5,2.7,7.1,15.2,,99,110
296,David Benoit,Career,,,NBA,,492,179,9314,7.4,17.0,.438,1.2,3.7,.319,6.2,13.3,.470,3.2,4.0,.795,3.2,7.8,11.0,1.6,1.2,1.4,2.4,5.7,19.2,,104,106
297,Keith Benson,Career,,,NBA,,3,0,9,0.0,5.8,.000,0.0,0.0,,0.0,5.8,.000,0.0,0.0,,11.6,5.8,17.3,0.0,0.0,0.0,0.0,0.0,0.0,,98,115
298,Kent Benson,Career,,,NBA,,680,233,15719,7.5,15.3,.493,0.0,0.1,.206,7.5,15.2,.495,2.9,3.9,.757,3.6,7.8,11.3,3.5,1.8,1.7,3.1,5.7,18.0,,105,104
299,Ben Bentil,Career,,,NBA,,3,0,10,0.0,15.6,.000,0.0,5.2,.000,0.0,10.4,.000,0.0,0.0,,0.0,10.4,10.4,0.0,0.0,0.0,5.2,5.2,0.0,,0,111
303,Ricky Berry,Career,,,NBA,,64,21,1406,8.7,19.3,.450,2.2,5.4,.406,6.5,13.8,.467,4.5,5.6,.789,1.9,4.8,6.7,2.7,1.3,0.7,2.8,6.7,24.0,,109,111
304,Walter Berry,Career,,,NBA,,205,132,4863,11.6,21.4,.539,0.0,0.0,.200,11.5,21.4,.540,4.6,7.2,.638,3.8,5.5,9.3,2.8,1.2,1.5,3.9,5.6,27.7,,107,111
305,Davis Bertans,Career,,,NBA,,125,14,1688,6.9,15.7,.440,4.3,11.1,.384,2.6,4.5,.576,1.8,2.2,.808,1.1,5.6,6.7,3.1,1.2,1.5,1.8,4.5,19.8,,115,106
306,Del Beshore,Career,,,NBA,,69,,870,4.8,13.5,.352,0.5,1.4,.385,4.2,12.1,.348,3.1,4.7,.667,0.9,2.5,3.4,7.5,3.1,0.3,5.6,5.7,13.2,,80,107
307,Travis Best,Career,,,NBA,,708,148,15150,7.1,16.4,.431,0.9,2.7,.345,6.1,13.7,.449,3.9,4.7,.835,0.8,3.6,4.4,8.6,2.3,0.2,3.3,5.7,19.0,,105,105
308,Patrick Beverley,Career,,,NBA,,302,251,8624,5.8,14.0,.413,2.9,7.6,.376,2.9,6.4,.457,1.8,2.3,.767,2.1,4.9,7.0,5.8,2.2,0.7,2.3,5.3,16.2,,113,108
309,Sim Bhullar,Career,,,NBA,,3,0,3,16.8,33.6,.500,0.0,0.0,,16.8,33.6,.500,0.0,0.0,,0.0,16.8,16.8,16.8,0.0,16.8,0.0,0.0,33.6,,124,88
313,Henry Bibby,Career,,,NBA,,620,,15000,6.3,14.7,.424,0.6,2.2,.293,6.1,14.3,.428,4.1,5.3,.782,1.4,3.1,4.5,6.6,1.7,0.1,1.7,3.9,16.7,,102,103
314,Mike Bibby,Career,,,NBA,,1001,950,33962,8.3,19.0,.436,2.3,6.1,.379,6.0,12.9,.463,3.6,4.5,.802,0.8,3.9,4.8,8.5,1.8,0.2,3.3,3.0,22.5,,108,108
316,Andris Biedrins,Career,,,NBA,,516,311,11146,6.4,10.7,.594,0.0,0.0,.000,6.4,10.7,.595,1.7,3.4,.500,5.3,10.8,16.1,2.1,1.5,2.6,2.1,7.2,14.4,,117,105
319,Lionel Billingy,Career,,,ABA,,46,,1022,7.0,16.3,.427,0.0,0.1,.000,7.0,16.2,.430,4.3,6.7,.650,5.0,8.0,13.0,2.3,1.9,0.5,5.7,5.2,18.3,,87,106
320,Chauncey Billups,Career,,,NBA,,1043,937,33008,7.6,18.4,.415,3.0,7.6,.387,4.7,10.8,.435,7.2,8.1,.894,0.8,4.1,4.8,9.1,1.7,0.3,3.4,3.5,25.5,,118,107
322,Joe Binion,Career,,,NBA,,11,0,51,3.6,9.0,.400,0.0,0.0,,3.6,9.0,.400,5.4,9.0,.600,7.2,9.0,16.1,0.9,1.8,1.8,2.7,4.5,12.5,,106,105
323,Khem Birch,Career,,,NBA,,24,0,273,5.4,10.2,.526,0.0,0.0,,5.4,10.2,.526,3.0,5.0,.607,6.3,8.6,14.8,3.0,1.6,1.8,2.1,5.2,13.8,,118,109
324,Jabari Bird,Career,,,NBA,,4,0,22,2.3,9.1,.250,0.0,4.5,.000,2.3,4.5,.500,6.8,11.4,.600,0.0,4.5,4.5,2.3,2.3,0.0,0.0,4.5,11.4,,96,105
326,Larry Bird,Career,,,NBA,,897,870,34443,11.9,24.1,.496,0.9,2.4,.376,11.0,21.7,.509,5.5,6.2,.886,2.4,10.0,12.5,7.9,2.2,1.0,3.9,3.2,30.3,,115,101
327,Otis Birdsong,Career,,,NBA,,696,317,21627,11.5,22.7,.506,0.1,0.5,.274,11.4,22.3,.510,3.9,5.9,.655,2.0,2.5,4.4,4.9,1.8,0.3,3.2,3.8,26.9,,107,107
329,Bismack Biyombo,Career,,,NBA,,509,208,10744,4.5,8.8,.514,0.0,0.0,.000,4.5,8.8,.515,3.1,5.4,.565,4.9,10.9,15.8,1.1,0.6,3.6,2.3,5.5,12.1,,107,105
330,Nemanja Bjelica,Career,,,NBA,,176,9,3151,6.0,13.3,.454,2.5,6.7,.368,3.5,6.5,.543,1.8,2.4,.758,2.2,7.9,10.1,3.4,1.6,0.8,2.2,6.4,16.3,,111,111
331,Uwe Blab,Career,,,NBA,,235,34,1966,4.5,10.4,.433,0.0,0.0,,4.5,10.4,.433,3.3,5.4,.608,3.1,6.9,10.0,2.5,0.5,2.1,3.4,8.4,12.3,,93,110
333,Norman Black,Career,,,NBA,,3,,28,5.1,16.9,.300,0.0,0.0,,5.1,16.9,.300,3.4,13.5,.250,0.0,3.4,3.4,3.4,1.7,0.0,1.7,3.4,13.5,,68,107
334,Tarik Black,Career,,,NBA,,208,56,3180,6.6,12.1,.548,0.0,0.2,.091,6.6,11.9,.554,2.9,5.0,.588,5.9,9.4,15.3,1.7,1.2,1.7,2.5,7.7,16.2,,113,108
336,Rolando Blackman,Career,,,NBA,,980,815,32087,10.6,21.4,.493,0.4,1.0,.343,10.2,20.4,.501,5.5,6.6,.840,1.6,3.4,5.0,4.6,1.1,0.4,2.8,2.5,27.0,,113,112
337,Alex Blackwell,Career,,,NBA,,27,0,109,6.4,19.2,.333,0.0,1.4,.000,6.4,17.9,.359,2.7,3.7,.750,4.6,6.0,10.5,3.2,1.8,0.9,2.3,6.4,15.6,,89,109
338,Cory Blackwell,Career,,,NBA,,60,0,551,7.6,20.8,.367,0.0,0.2,.000,7.6,20.6,.370,2.5,4.8,.509,3.7,4.7,8.4,2.3,2.2,0.3,3.9,4.8,17.7,,79,108
339,James Blackwell,Career,,,NBA,,13,0,80,5.1,8.4,.615,0.0,0.0,,5.1,8.4,.615,1.3,1.9,.667,1.3,5.8,7.1,7.1,2.6,0.0,3.2,5.1,11.6,,112,109
340,Nate Blackwell,Career,,,NBA,,10,0,112,6.2,16.8,.366,0.8,4.5,.182,5.3,12.3,.433,2.1,2.5,.833,0.8,1.6,2.5,7.4,1.2,0.0,3.3,6.6,15.2,,92,117
341,DeJuan Blair,Career,,,NBA,,424,179,7054,9.1,17.4,.524,0.0,0.1,.000,9.1,17.3,.526,2.8,4.6,.608,5.9,9.8,15.8,2.6,2.3,0.9,3.4,7.3,21.0,,106,102
342,Steve Blake,Career,,,NBA,,870,347,20823,5.2,13.0,.401,2.6,6.8,.383,2.6,6.1,.420,1.3,1.6,.779,0.6,3.9,4.6,8.7,1.5,0.2,3.1,3.2,14.3,,106,110
343,Antonio Blakeney,Career,,,NBA,,12,0,170,8.6,23.6,.366,2.6,8.6,.300,6.0,15.0,.404,4.6,6.0,.762,0.9,4.9,5.8,2.0,0.6,0.0,2.3,2.3,24.4,,91,114
344,Will Blalock,Career,,,NBA,,14,0,166,3.0,9.9,.300,0.3,1.7,.200,2.7,8.3,.320,2.0,2.0,1.000,2.0,3.0,5.0,5.6,1.7,0.0,4.0,3.0,8.3,,80,108
346,Lance Blanks,Career,,,NBA,,142,2,1045,5.7,13.1,.436,0.9,3.7,.253,4.8,9.4,.508,1.9,2.8,.667,1.5,3.9,5.4,5.8,1.9,0.4,3.1,6.0,14.3,,98,111
347,Ricky Blanton,Career,,,NBA,,2,0,13,12.0,27.9,.429,0.0,0.0,,12.0,27.9,.429,0.0,0.0,,8.0,4.0,12.0,4.0,8.0,0.0,4.0,4.0,24.0,,96,96
348,Andray Blatche,Career,,,NBA,,564,191,12462,9.8,21.0,.467,0.2,0.9,.237,9.6,20.1,.478,4.2,5.8,.725,4.4,8.3,12.7,3.4,2.1,1.9,3.8,5.8,24.0,,101,106
349,Mookie Blaylock,Career,,,NBA,,889,800,31026,7.8,19.2,.409,2.1,6.4,.336,5.7,12.8,.445,2.1,2.9,.736,1.7,4.4,6.1,9.9,3.5,0.5,3.4,2.8,19.9,,106,105
350,Eric Bledsoe,Career,,,NBA,,472,310,12993,8.7,19.4,.445,1.7,5.2,.334,6.9,14.3,.486,5.7,7.2,.799,1.4,5.5,6.9,8.4,2.7,0.9,5.0,3.7,24.8,,105,107
354,Corie Blount,Career,,,NBA,,644,77,9925,5.1,10.7,.471,0.0,0.1,.115,5.0,10.6,.475,1.9,3.3,.587,5.7,8.5,14.2,2.4,1.7,1.4,2.7,7.2,12.1,,102,102
355,Mark Blount,Career,,,NBA,,605,393,13981,7.6,15.0,.504,0.1,0.4,.359,7.4,14.6,.507,3.2,4.5,.723,3.4,7.1,10.4,1.9,1.2,1.9,3.5,5.8,18.5,,100,105
356,Vander Blue,Career,,,NBA,,10,1,134,4.5,14.5,.308,0.7,4.8,.154,3.7,9.7,.385,1.5,4.5,.333,0.7,4.1,4.8,4.5,1.5,0.0,4.1,2.6,11.2,,67,112
357,Ray Blume,Career,,,NBA,,49,2,546,9.1,19.7,.459,0.4,1.6,.222,8.7,18.1,.480,1.6,2.5,.643,1.2,2.4,3.6,6.0,2.0,0.2,4.8,5.1,20.1,,92,111
359,Tony Bobbitt,Career,,,NBA,,2,0,12,8.8,22.0,.400,4.4,8.8,.500,4.4,13.2,.333,0.0,0.0,,0.0,13.2,13.2,0.0,0.0,0.0,0.0,4.4,22.0,,106,111
362,Keith Bogans,Career,,,NBA,,671,333,14527,5.4,13.6,.394,2.6,7.3,.353,2.8,6.3,.442,2.1,2.9,.716,1.4,5.2,6.6,3.1,1.6,0.2,2.1,4.4,15.4,,104,107
363,Bogdan Bogdanovic,Career,,,NBA,,59,34,1631,8.1,17.5,.461,2.9,7.4,.399,5.1,10.1,.506,2.3,2.8,.854,0.7,4.4,5.1,5.9,1.8,0.5,3.1,3.9,21.4,,108,114
364,Bojan Bogdanovic,Career,,,NBA,,299,182,7927,7.9,17.7,.450,3.0,8.1,.373,4.9,9.6,.513,3.4,4.0,.860,0.9,5.1,6.0,2.3,0.9,0.2,2.5,2.9,22.3,,107,113
365,Muggsy Bogues,Career,,,NBA,,889,556,25429,5.6,12.2,.458,0.2,0.7,.278,5.4,11.4,.470,2.1,2.5,.827,1.0,3.5,4.5,13.2,2.7,0.1,2.8,3.1,13.5,,113,109
366,Andrew Bogut,Career,,,NBA,,695,656,19728,7.7,14.5,.535,0.0,0.1,.120,7.7,14.4,.537,2.2,3.9,.556,4.5,11.3,15.8,4.0,1.1,2.8,3.1,5.6,17.7,,107,102
367,Etdrick Bohannon,Career,,,NBA,,26,0,152,3.1,7.1,.429,0.0,0.0,,3.1,7.1,.429,6.5,9.5,.679,6.1,8.8,15.0,2.0,0.7,3.4,4.8,10.9,12.6,,97,106
368,Manute Bol,Career,,,NBA,,624,133,11698,2.7,6.7,.407,0.2,0.8,.210,2.6,5.9,.435,0.9,1.7,.561,2.4,8.4,10.9,0.7,0.5,8.6,1.9,6.0,6.6,,87,103
370,Joel Bolomboy,Career,,,NBA,,18,0,91,6.8,12.4,.545,0.6,2.8,.200,6.2,9.6,.647,3.4,6.8,.500,5.7,9.6,15.3,1.1,1.7,1.1,2.3,2.3,17.5,,114,106
374,Walter Bond,Career,,,NBA,,153,42,2427,6.7,16.4,.409,0.8,2.8,.299,5.9,13.6,.431,3.5,4.6,.767,1.6,4.3,5.9,3.6,2.0,0.7,3.0,7.3,17.8,,97,112
375,Dexter Boney,Career,,,NBA,,8,0,48,6.4,20.4,.316,1.1,6.4,.167,5.4,13.9,.385,6.4,8.6,.750,3.2,3.2,6.4,0.0,2.1,1.1,1.1,3.2,20.4,,95,110
377,Anthony Bonner,Career,,,NBA,,318,120,7372,5.9,12.7,.468,0.0,0.1,.125,5.9,12.5,.471,2.9,5.0,.590,4.8,6.8,11.6,3.0,2.3,0.6,3.0,5.3,14.8,,100,105
378,Matt Bonner,Career,,,NBA,,792,112,13356,6.9,14.8,.464,3.1,7.5,.414,3.7,7.2,.516,1.3,1.7,.780,2.4,6.9,9.3,2.2,1.1,0.8,1.2,5.1,18.2,,119,106
380,Devin Booker,Career,,,NBA,,203,178,6533,10.2,24.0,.426,2.8,7.7,.364,7.4,16.3,.456,6.3,7.4,.850,0.7,4.2,4.9,5.2,1.2,0.4,4.2,4.6,29.6,,104,114
381,Melvin Booker,Career,,,NBA,,32,4,561,5.8,14.4,.400,1.4,5.2,.268,4.4,9.2,.475,2.5,2.9,.871,0.7,2.8,3.5,6.9,0.7,0.3,3.6,4.3,15.4,,98,116
382,Trevor Booker,Career,,,NBA,,515,160,10603,7.3,14.0,.517,0.3,1.1,.310,6.9,12.9,.535,2.4,3.8,.632,4.8,8.9,13.7,2.6,1.7,1.3,2.6,5.0,17.3,,110,105
383,Josh Boone,Career,,,NBA,,256,88,4482,6.7,12.3,.544,0.0,0.0,,6.7,12.3,.544,2.4,5.4,.445,5.7,9.1,14.8,1.5,1.2,2.1,2.0,5.5,15.8,,110,107
384,Ron Boone,Career,,,TOT,,625,,20268,10.0,21.1,.461,0.6,1.9,.304,9.8,20.7,.467,4.5,5.2,.837,1.8,3.3,5.1,5.7,1.9,0.3,3.9,4.2,24.5,,101,107
385,Calvin Booth,Career,,,NBA,,366,83,4477,5.6,12.3,.451,0.0,0.1,.222,5.5,12.2,.453,2.9,3.8,.748,3.7,8.2,11.9,1.8,1.2,4.2,2.1,8.0,14.0,,104,104
386,Keith Booth,Career,,,NBA,,45,4,449,6.2,19.0,.325,0.1,1.3,.091,6.1,17.7,.342,3.3,5.8,.563,3.3,8.5,11.8,4.7,2.7,1.3,5.1,7.6,15.8,,73,99
388,Carlos Boozer,Career,,,NBA,,861,775,26901,11.4,21.9,.521,0.0,0.0,.071,11.4,21.9,.522,4.5,6.2,.722,4.0,12.0,16.0,3.8,1.5,0.7,3.6,5.1,27.3,,108,102
389,Curtis Borchardt,Career,,,NBA,,83,23,1117,4.7,11.1,.421,0.0,0.0,.000,4.7,11.1,.423,3.2,4.3,.742,4.8,8.7,13.6,3.1,0.7,2.2,3.4,9.8,12.6,,97,107
391,Lazaro Borrell,Career,,,NBA,,17,6,167,8.6,19.4,.444,0.0,0.9,.000,8.6,18.5,.467,1.8,3.4,.545,4.3,8.0,12.3,3.1,1.8,0.9,1.8,2.8,19.1,,100,103
394,Chris Bosh,Career,,,NBA,,893,881,31936,10.2,20.7,.494,0.5,1.5,.335,9.7,19.2,.506,7.4,9.2,.799,3.2,9.3,12.5,3.0,1.2,1.5,3.0,3.6,28.3,,113,105
396,Lawrence Boston,Career,,,NBA,,13,,125,9.0,19.5,.462,0.0,0.0,,9.0,19.5,.462,3.0,4.9,.615,7.1,7.5,14.6,0.7,1.5,0.7,3.0,9.4,21.0,,100,105
397,Tom Boswell,Career,,,NBA,,366,0,7046,7.2,13.5,.533,0.1,0.2,.545,7.1,13.4,.532,4.1,5.6,.724,4.4,6.8,11.2,3.9,0.9,0.7,3.1,7.2,18.4,,109,105
398,Ruben Boumtje-Boumtje,Career,,,NBA,,44,1,276,2.7,7.4,.368,0.0,0.0,,2.7,7.4,.368,2.9,5.3,.556,4.3,6.8,11.1,1.2,0.8,3.3,2.7,7.8,8.4,,88,104
400,Cal Bowdler,Career,,,NBA,,142,0,1383,6.2,15.2,.404,0.1,0.4,.182,6.1,14.8,.411,3.6,4.7,.768,3.4,6.9,10.3,1.1,1.6,1.7,1.6,5.9,16.0,,100,106
